f0,f1,f2,f3,X0,X1,X2,X3,Sum
1,2,4,7,1296,130321,1296,1296,134209
2,4,7,1,1296,1296,130321,1296,134209
4,7,1,2,1296,1296,1296,130321,134209
7,1,2,4,130321,1296,1296,1296,134209
5,3,0,6,38416,38416,1,38416,115249
6,5,3,0,38416,1,38416,38416,115249
0,6,5,3,1,38416,38416,38416,115249
3,0,6,5,38416,38416,38416,1,115249
7,1,6,4,96026,3024,3024,216,102290
0,7,1,2,216,3024,3024,96026,102290
2,5,7,1,3024,216,96026,3024,102290
7,5,2,4,96026,216,3024,3024,102290
4,7,0,2,3024,3024,216,96026,102290
4,7,1,0,3024,216,3024,96026,102290
4,6,1,2,216,3024,3024,96026,102290
4,7,1,3,216,3024,3024,96026,102290
4,7,1,6,3024,3024,216,96026,102290
4,5,1,2,3024,216,3024,96026,102290
4,7,3,2,3024,216,3024,96026,102290
1,6,4,7,216,96026,3024,3024,102290
4,7,5,2,216,3024,3024,96026,102290
6,4,7,1,3024,216,96026,3024,102290
2,4,7,5,3024,3024,96026,216,102290
0,4,7,1,216,3024,96026,3024,102290
2,4,7,3,216,3024,96026,3024,102290
2,4,7,0,3024,216,96026,3024,102290
5,1,2,4,96026,3024,216,3024,102290
2,4,6,1,3024,3024,96026,216,102290
2,4,5,1,216,3024,96026,3024,102290
5,7,1,2,3024,3024,216,96026,102290
5,2,4,7,3024,96026,216,3024,102290
2,4,3,1,3024,216,96026,3024,102290
7,1,0,4,96026,3024,216,3024,102290
7,1,2,0,96026,216,3024,3024,102290
7,1,2,5,96026,3024,3024,216,102290
7,1,2,6,96026,3024,216,3024,102290
7,1,3,4,96026,216,3024,3024,102290
2,6,7,1,216,3024,96026,3024,102290
0,2,4,7,216,96026,3024,3024,102290
1,2,6,7,3024,96026,3024,216,102290
1,2,4,6,3024,96026,216,3024,102290
7,0,2,4,96026,3024,3024,216,102290
3,4,7,1,3024,3024,96026,216,102290
6,1,2,4,96026,216,3024,3024,102290
1,2,4,3,216,96026,3024,3024,102290
2,0,7,1,3024,3024,96026,216,102290
4,3,1,2,3024,3024,216,96026,102290
1,2,4,5,3024,96026,3024,216,102290
1,2,0,7,3024,96026,216,3024,102290
1,0,4,7,3024,96026,3024,216,102290
1,3,4,7,3024,96026,216,3024,102290
7,3,2,4,96026,3024,216,3024,102290
3,1,2,4,96026,3024,3024,216,102290
6,7,1,2,3024,216,3024,96026,102290
1,2,5,7,216,96026,3024,3024,102290
3,2,4,7,3024,96026,3024,216,102290
7,0,6,5,52136,16464,16464,6,85070
5,2,0,6,16464,52136,6,16464,85070
3,0,6,1,16464,16464,52136,6,85070
3,0,6,4,52136,16464,16464,6,85070
1,3,0,6,16464,52136,6,16464,85070
6,5,3,1,16464,6,52136,16464,85070
6,7,3,0,16464,6,16464,52136,85070
3,0,6,7,16464,52136,16464,6,85070
5,3,0,4,52136,16464,6,16464,85070
5,3,0,7,16464,52136,6,16464,85070
3,4,6,5,16464,16464,52136,6,85070
5,3,1,6,16464,16464,6,52136,85070
5,3,2,6,52136,16464,6,16464,85070
3,0,7,5,16464,16464,52136,6,85070
3,2,6,5,16464,52136,16464,6,85070
5,3,4,6,16464,52136,6,16464,85070
0,2,5,3,6,52136,16464,16464,85070
5,3,0,2,16464,16464,6,52136,85070
2,5,3,0,16464,6,52136,16464,85070
5,1,0,6,52136,16464,6,16464,85070
0,6,5,7,6,52136,16464,16464,85070
6,5,3,2,16464,6,16464,52136,85070
1,6,5,3,6,52136,16464,16464,85070
6,5,1,0,16464,6,16464,52136,85070
6,5,3,4,52136,6,16464,16464,85070
