f0,f1,f2,X0,X1,X2,Sum
2,3,1,9,9,125,143
3,1,2,125,9,9,143
1,2,3,9,125,9,143
3,3,3,45,45,45,135
3,3,2,75,27,15,117
3,3,1,15,27,75,117
2,3,3,27,15,75,117
3,2,3,15,75,27,117
3,1,3,75,15,27,117
1,3,3,27,75,15,117
1,0,3,27,75,3,105
3,0,2,75,27,3,105
2,3,0,27,3,75,105
0,2,3,3,75,27,105
0,3,1,3,27,75,105
3,1,0,75,3,27,105
3,0,3,45,45,9,99
3,3,0,45,9,45,99
0,3,3,9,45,45,99
2,1,3,45,5,45,95
3,2,1,5,45,45,95
1,3,2,45,45,5,95
1,2,2,15,75,3,93
2,1,2,75,3,15,93
1,1,2,75,15,3,93
2,1,1,15,3,75,93
1,2,1,3,75,15,93
2,2,1,3,15,75,93
2,1,0,45,1,45,91
1,0,2,45,45,1,91
0,2,1,1,45,45,91
2,2,3,9,25,45,79
1,3,1,9,45,25,79
2,3,2,45,9,25,79
1,1,3,45,25,9,79
3,2,2,25,45,9,79
3,1,1,25,9,45,79
0,3,0,9,9,45,63
3,0,0,45,9,9,63
0,0,3,9,45,9,63
0,1,1,5,9,45,59
1,0,1,9,45,5,59
2,2,0,9,5,45,59
0,2,2,5,45,9,59
1,1,0,45,5,9,59
2,0,2,45,9,5,59
2,0,3,27,15,15,57
0,1,3,15,15,27,57
1,3,0,27,15,15,57
0,3,2,15,27,15,57
3,2,0,15,15,27,57
3,0,1,15,27,15,57
2,0,0,27,3,15,45
2,2,2,15,15,15,45
0,0,1,3,27,15,45
1,1,1,15,15,15,45
1,0,0,27,15,3,45
0,2,0,3,15,27,45
0,1,0,15,3,27,45
0,0,2,15,27,3,45
2,0,1,9,9,25,43
1,2,0,9,25,9,43
0,1,2,25,9,9,43
0,0,0,9,9,9,27
